Editor-Skript;SHA256;Generierungs-Indikatoren
"Assets/_Game/Editor/UiVisualAssetBuilder.cs";"8961494e64288fd02e613788d9a9b9c5471755e8d79a25f568fcf370f1ad4fa2";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/V02ActorVisualBuilder.cs";"d371e9d5ca2fb997d79248ff29c5517a081327a253bd545dbbc7e1d1d0e9400e";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/V02AudioContentBuilder.cs";"701dc2fce97754b077f189c243be9e93e0fbcf164bb6b545fb5880ecbf65cca0";"AssetDatabase.CreateAsset"
"Assets/_Game/Editor/V02PlayerPresentationBuilder.cs";"69dbd394fc61da78bcd629224e607cf07e7d5d1c309d93e919e1582b34e53e8c";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/VisualScaleBaker.cs";"3aa1713b424a1f9db273803eb08b150560bce7a3ad78d27bfec911d30f1041c6";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/VisualScaleTableBuilder.cs";"9fa8a36759e52640d73786232ba1bc39004c392cff5e1476a905d0006b06a7db";"AssetDatabase.CreateAsset"
"Assets/_Game/Editor/WallConnectionContentBuilder.cs";"499e958de7f3314a89515d11252853903365399abac18b261ae8063e66e95160";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs";"b76958da188b6fba7cde5dfd3cd81048405d2f00efc45232b4a30ab5fc216603";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/WeaponIconHudBuilder.cs";"e655ac36553f9884b69e29f8efc03f40a45af3ba80a32cd68b0f8605d009cd70";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/WildlingContentBuilder.cs";"bbc85adab41375c25fd1c24c2c235f04ba13e668e942e31058071be7d36ce44b";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | Rebuild"
"Assets/_Game/Editor/WorldChestContentBuilder.cs";"ea1b6026e4f4efe58ce490ac958d5e725cdc95afaec0de421f79b2b5cefef2bf";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | AssetDatabase.DeleteAsset | MeshFactory | Rebuild"
"Assets/_Game/Editor/WorldChestHandsRemovalBuilder.cs";"a9a9a57497c5284a4bc93687567231324c0e7d2b6b260e1c4b2156919992ad15";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/WorldChestStyleCaptureUtility.cs";"518eb39b0723080559c45da2f4c0762697f12167508df7b0e608e32bd2071643";"File.WriteAllBytes"
"Assets/_Game/Editor/WorldContactShadowBuilder.cs";"1683fbec5d862a0cc0f119e35b211a6d4d047c198f3d26906158d2db13385d07";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | File.WriteAllBytes | Rebuild"
"Assets/_Game/Editor/WorldMapContentBuilder.cs";"8c6af579532b056c6188aaec8cafadcd0981146595adf3602f72ad0867d583d2";"AssetDatabase.CreateAsset | File.WriteAllBytes"
"Assets/_Game/Editor/WorldMapPrefabBuilder.cs";"0df19fa867852c598844d1b3e6754dbb62660afd707ecd14a39182f62b4ba329";"PrefabUtility.SaveAsPrefabAsset"
"Assets/_Game/Editor/WorldVisualAssetBuilder.cs";"78b2916dc66d4de54ee9b2b01ec777a1fa2be399cf2061c80ec43320bcc7d934";"AssetDatabase.CreateAsset | PrefabUtility.SaveAsPrefabAsset | MeshFactory"
