Assetpfad;GUID;Local ID;Meshname;Vertices;Tris;Bounds Center;Bounds Size;Prefab-Referenzen;Szenen;Builder-Kandidaten
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"-6395862535203312141";"Harnisch_Kupfer";"1494";"498";"(0,1.0175,0)";"(0.586,0.901,0.312)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"2729278859322926521";"Harnisch_Stoff";"1188";"396";"(0,1.078,0)";"(0.586,0.992,0.306)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"-2673761274174101314";"Helm_Eisen";"576";"192";"(0,1.677,-0.019)";"(0.268,0.398,0.284)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"-6091860865849493909";"Helm_Kupfer";"534";"178";"(0,1.668,0.0035)";"(0.264,0.292,0.317)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"-2234130983621591546";"Helm_Stoff";"642";"214";"(0,1.603,-0.059102)";"(0.36742,0.406,0.313797)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"62486014009990395";"Waffe_Axt";"876";"292";"(-0.263,0.952,0.1445)";"(0.062,0.784,0.391)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"-4355984142775085114";"Waffe_Dolche";"984";"328";"(0,0.712,0.04)";"(0.565,0.428,0.096)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"6295902041831404863";"Waffe_Hammer";"822";"274";"(-0.263,1.02,0.052)";"(0.18,1.28,0.528)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"9157722783355178462";"Waffe_Sense";"1128";"376";"(-0.263,0.964,0.324)";"(0.058,1.168,0.606)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"-6005239308011020720";"Waffe_Speer";"1260";"420";"(-0.273857,1.097,0.039362)";"(0.084408,2.194,0.138755)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"478728262416458926";"Waffe_Spitzhacke";"756";"252";"(-0.263,0.846,0.117)";"(0.066,0.732,0.67)";"Assets/_Game/Prefabs/Actors/3D/Player_3D.prefab | Assets/_Game/Prefabs/Player/Player.prefab";"Assets/_Game/Scenes/EidraForge.unity | Assets/_Game/Scenes/HomeBase.unity | Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_Greenwood.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Marsh.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs | Assets/_Game/Editor/Tests/Wanderer3DAssetTests.cs | Assets/_Game/Editor/Wanderer3DImportDiagnose.cs | Assets/_Game/Editor/Wanderer3DPlayerBuilder.cs"
"Assets/_Game/Art/Actors/RiftGuardian/RiftGuardian3D/RiftGuardian.glb";"9adae2a5eed7a9445a55ea615a056046";"-2017099146462433736";"RiftGuardian";"3384";"1128";"(0,1.526706,0.033022)";"(1.687834,3,0.956252)";"Assets/_Game/Prefabs/Actors/3D/RiftGuardian_3D.prefab | Assets/_Game/Prefabs/Enemies/TierTwo/RiftGuardian.prefab";"Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs"
"Assets/_Game/Art/Actors/Riftling/Riftling3D/Riftling.glb";"1ff239ba6bad5b445bf407be01e4bb5d";"-7297108556414514674";"Riftling";"4734";"1578";"(0,0.862194,0.177824)";"(0.810879,1.7,0.741781)";"Assets/_Game/Prefabs/Actors/3D/Riftling_3D.prefab | Assets/_Game/Prefabs/Enemies/TierTwo/Riftling.prefab";"Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_Quarry.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs"
"Assets/_Game/Art/Actors/RootCharger/RootCharger3D/RootCharger.glb";"0300909cf54b3394c9c98206242e6ebe";"-2747566408926578060";"RootCharger";"6252";"2084";"(0,1.121012,-0.073896)";"(2.060506,2.199689,2.558054)";"Assets/_Game/Prefabs/Actors/3D/RootCharger_3D.prefab | Assets/_Game/Prefabs/Enemies/TierTwo/RootCharger.prefab";"Assets/_Game/Scenes/Zone_EmberRuins.unity | Assets/_Game/Scenes/Zone_GreyRifts.unity | Assets/_Game/Scenes/Zone_TwilightGrove.unity | Assets/_Game/Scenes/Zone_VeilMarsh.unity";"Assets/_Game/Editor/CreatureMeshBuilder.cs"
